Date,Stock,isPartial,Noise
2019-01-06,GME,False,0
2019-01-13,GME,False,0
2019-01-20,GME,False,0
2019-01-27,GME,False,0
2019-02-03,GME,False,0
2019-02-10,GME,False,0
2019-02-17,GME,False,0
2019-02-24,GME,False,0
2019-03-03,GME,False,0
2019-03-10,GME,False,0
2019-03-17,GME,False,0
2019-03-24,GME,False,0
2019-03-31,GME,False,0
2019-04-07,GME,False,0
2019-04-14,GME,False,0
2019-04-21,GME,False,0
2019-04-28,GME,False,0
2019-05-05,GME,False,0
2019-05-12,GME,False,0
2019-05-19,GME,False,0
2019-05-26,GME,False,0
2019-06-02,GME,False,0
2019-06-09,GME,False,0
2019-06-16,GME,False,0
2019-06-23,GME,False,0
2019-06-30,GME,False,0
2019-07-07,GME,False,0
2019-07-14,GME,False,0
2019-07-21,GME,False,0
2019-07-28,GME,False,0
2019-08-04,GME,False,0
2019-08-11,GME,False,0
2019-08-18,GME,False,0
2019-08-25,GME,False,0
2019-09-01,GME,False,0
2019-09-08,GME,False,0
2019-09-15,GME,False,0
2019-09-22,GME,False,0
2019-09-29,GME,False,0
2019-10-06,GME,False,0
2019-10-13,GME,False,0
2019-10-20,GME,False,0
2019-10-27,GME,False,0
2019-11-03,GME,False,0
2019-11-10,GME,False,0
2019-11-17,GME,False,0
2019-11-24,GME,False,0
2019-12-01,GME,False,0
2019-12-08,GME,False,0
2019-12-15,GME,False,0
2019-12-22,GME,False,0
2019-12-29,GME,False,0
2020-01-05,GME,False,0
2020-01-12,GME,False,0
2020-01-19,GME,False,0
2020-01-26,GME,False,0
2020-02-02,GME,False,0
2020-02-09,GME,False,0
2020-02-16,GME,False,0
2020-02-23,GME,False,0
2020-03-01,GME,False,0
2020-03-08,GME,False,0
2020-03-15,GME,False,0
2020-03-22,GME,False,0
2020-03-29,GME,False,0
2020-04-05,GME,False,0
2020-04-12,GME,False,0
2020-04-19,GME,False,0
2020-04-26,GME,False,0
2020-05-03,GME,False,0
2020-05-10,GME,False,0
2020-05-17,GME,False,0
2020-05-24,GME,False,0
